Region	Flower 1	Flower 2	Flower 3
Albuquerque and Santa Fe	Bee Balm, Monarda fistulosa	Chocolate flower, Berlandiera Lyrata	Common sunflower, Helianthus Annuus
California	Baby blue eyes, Nemophila menziessi	Elegant clarkia, Clarkia unguiculata	California Aster, Symphyotrichum chilense 
Florida	Dotted horsemint, Monarda punctata	Aquatic Milkweed, Asclepias perennis	Scarlet Sage, Salvia coccinea
Great Lakes	Lanceleaf coreopsis, Coreopsis lanceolata	Dotted Mint, Monardo punctuta	Cup Plant, Silphium perfoliatum
Maritime Northwest	Bigleaf lupine, Lupinus polyphyllus	Riverbank Lupine, Lupinus rivularis	Large Flowered collomia, Collomia grandiflora
Mid-Atlantic	Wild indigo, Baptisia tinctoria	Joe Pye weed, Eutrochium fistulosum	Marsh blazing star, Liatris spicata
Midwest	Golden Alexanders, Zizia aurea	Pale purple coneflower, Echinacea pallida	Gray goldenrod, Solidago nemoralis
Northeast	Wild geranium, Geranium maculatum	Blue vervain, Verbena hastata	Wild golden glow, Rudbeckia laciniata
Northern Plains	American vetch, Vicia americana	Purple prairie clover, Dalea purpurea	Maximillian sunflower, Helianthus maximiliani
Southeast	Butterfly milkweed, Asclepias tuberosa	Eastern rosemallow, Hibiscus moscheutos	Wingstem, Verbesina alternifolia
Southern Plains	Antelope horns milkweed, Asclepias asperula ssp. capricornu	Mexican hat, Ratibida columnifera	Giant goldenrod, Solidago gigantea
