Albuquerque and Santa Fe	Bee Balm, Monarda fistulosa
California	Baby blue eyes, Nemophila menziessi
Florida	Dotted horsemint, Monarda punctata
Great Lakes	Lanceleaf coreopsis, Coreopsis lanceolata
Maritime Northwest	Bigleaf lupine, Lupinus polyphyllus
Mid-Atlantic	Wild indigo, Baptisia tinctoria
Midwest	Golden Alexanders, Zizia aurea
Northeast	Wild geranium, Geranium maculatum
Northern Plains	American vetch, Vicia americana
Southeast	Butterfly milkweed, Asclepias tuberosa
Southern Plains	Antelope horns milkweed, Asclepias asperula ssp. capricornu
